Date,AAPL,CVX,DIS,FB,IBM,INTC,JNJ,KO,MCD,MSFT,NKE,PG,UTX,VZ
5/25/2018,0.01211033,-0.045358705,-0.016785919,0.012187338,-0.003058592,0.03561964,-0.01515861,0.005202297,0.013757651,0.020543041,0.012955548,0.011640604,0.01459069,0.016206481
5/18/2018,-0.012163357,-0.006684764,0.018058717,-0.023319216,-0.000416347,-0.021633409,-0.023859905,0.000948716,-0.027026142,-0.009485365,0.041365394,0.001089714,0.011313149,-0.018265352
5/11/2018,0.029412629,0.033758192,0.0090543,0.057111249,0.012636859,0.035182776,0.024262413,-0.005207053,0.00217897,0.0263419,0.004834115,0.012894683,0.040745029,0.008883485
5/4/2018,0.124441643,-0.008645704,0.019164104,0.017247744,-0.017701093,0.006702643,-0.032324781,-0.022179084,0.041635342,-0.006911782,-0.021212492,-0.005232635,-0.024384327,-0.067788594
4/27/2018,-0.020729797,0.034631714,-0.01012682,0.043023065,0.010845257,0.023020383,0.012631026,-0.009879439,-0.00296473,0.008594627,0.05117239,-0.013505627,-0.005050112,0.073824536
4/20/2018,-0.052942411,0.019733885,-0.001096776,0.010640941,-0.078353233,-0.006383733,-0.030785926,-0.017450763,-0.01847156,0.020417468,-0.017399695,-0.050868744,0.003010703,0.005023063
4/13/2018,0.037018518,0.043981833,0,0.045513307,0.039968802,0.061022397,0.019481064,0.013343989,0.002972286,0.031097329,-0.004450939,-0.000765168,-0.0004075,0.016288103
4/6/2018,0.003569843,0.006293766,-0.000896519,-0.016341548,-0.01881626,-0.065255619,-0.000390161,0.011219398,0.030667073,-0.011460168,0.016568679,-0.010779502,-0.024620973,-0.007135455
3/30/2018,0.01707186,0.009338444,0.019098026,0.002506386,0.030036579,0.053640691,0.024088033,0.025654315,0.008992837,0.04584729,0.027620725,0.043437426,0.028293485,0.032517967
3/23/2018,-0.076314158,-0.021193563,-0.043003536,-0.149488149,-0.073589598,-0.036012991,-0.066335394,-0.026344889,-0.046520046,-0.081682625,-0.019611613,-0.039519622,-0.048046241,-0.047874145
3/16/2018,-0.010949834,-0.015648139,-0.017919529,-0.000756103,0.005945441,-0.01973756,-0.000897422,-0.022024662,0.032042711,-0.020299964,-0.005899722,-0.016577036,-0.043757025,-0.009224121
3/9/2018,0.021169184,0.048773054,0.016753706,0.047597771,0.030722577,0.063478828,0.037930076,0.024848674,0.058738343,0.036820429,0.006203329,0.009888012,0.031289348,0.01542121
3/2/2018,0.004037545,-0.008473406,-0.040530691,-0.037069056,-0.006644901,0.025852074,-0.018154299,-0.007292665,-0.088776896,-0.010795871,-0.030851024,-0.01930924,-0.024403494,-0.000621538
2/23/2018,0.017647612,0.004004749,0.006736018,0.032887989,-0.004234835,0.046529922,-0.008522873,-0.021119577,0.032853286,0.022144342,-0.002051986,-0.018943245,0.029650329,-0.037793967
2/16/2018,0.097510521,-0.002149261,0.032824215,0.007072765,0.043645878,0.035977504,0.027563802,0.041999235,-0.018896322,0.04709477,0.042012416,0.03298353,0.038812425,0.005398407
2/9/2018,-0.021744215,-0.04378502,-0.052989416,-0.077387861,-0.051931856,-0.042083091,-0.061019717,-0.080167493,-0.051983326,-0.040014034,-0.02607341,-0.052762504,-0.073828148,-0.060294365
2/2/2018,-0.066347537,-0.101058783,-0.031602091,0.001472594,-0.050934928,-0.081724784,-0.05407475,-0.037795826,-0.051659345,-0.024538588,-0.012124898,-0.040475397,-0.024726841,-0.032314766
1/26/2018,-0.039723107,-0.000838178,0.014364219,0.046926152,0.030150104,0.110967424,-0.013871777,0.028635973,0.012638516,0.044123255,0.01227355,-0.037364417,0.015189443,0.052717847
1/19/2018,0.007706448,-0.017365419,-0.016856928,0.010647237,-0.004731059,0.035888507,0.01091729,0.021649197,0.014584506,0.004454222,0.0385248,0.023751646,-0.004991312,0.000963667
1/12/2018,0.011872102,0.043601503,0.007586332,-0.040855504,0.003992115,-0.034102058,0.028178635,0.001734947,-0.002761702,0.015861829,0.010726892,-0.018026595,0.03737152,-0.000558781
1/5/2018,0.033527182,0.021416105,0.037516328,0.057211927,0.057437304,-0.031245592,0.014142328,0.004132569,0.011150767,0.030509543,0.022604281,-0.006989887,0.030873813,-0.008538089
12/29/2017,-0.033584242,0.001678929,-0.01073182,-0.00418476,0.006014703,-0.011630608,-0.002858653,0.006340961,0.004075305,0.000350702,-0.011761074,-0.002717165,0.002668699,-0.004900152
12/22/2017,0.005960194,0.042914406,-0.023643874,-0.016677291,0,0.046907661,-0.016562221,-0.013074823,-0.015283325,-0.015549115,-0.023423899,0.002608262,0.008366296,0.009824434
12/15/2017,0.026797271,-0.001585512,0.065359548,0.006570507,-0.015033981,0.027529768,0.013213511,0.019235401,0.00524173,0.031462643,0.055371387,0.016679857,0.026991754,0.030457092
12/8/2017,-0.009870261,0.003424781,-0.001726227,0.022028532,0.00032304,-0.030219329,0.004348272,-0.014461229,0.001618326,-0.001187382,0.023437271,0.000110562,0.022147181,-0.003126785
12/1/2017,-0.022658765,0.025422885,0.025110791,-0.042925965,0.019048269,-0.001565478,0.020278624,0.01012481,0.027934345,0.011938953,0.012711681,0.021364434,0.02708685,0.086355348
11/24/2017,0.027934202,0.015569995,-0.007764008,0.020897433,0.019082251,0.002685255,7.23E-05,0.003712254,0.014233632,0.010382759,0.002194006,0.000226208,0.003255763,0.034407904
11/17/2017,-0.026217996,-0.011986413,-0.012871168,0.00302128,-0.001274638,-0.02106268,-0.011240869,-0.017994999,0.006800854,-0.012673019,0.053794884,0.003057726,-0.007496057,0.0119601
11/10/2017,0.016089643,0.018866108,0.06038609,-0.002574242,-0.006148217,-0.010638772,-0.003719206,0.012323024,-0.018310629,-0.003213984,0.006798036,0.018084608,-0.024752489,-0.0550517
11/3/2017,0.056340249,0.012689842,0.003351125,0.005829574,-0.013758939,0.04276609,-0.012062764,-0.002172879,0.019519192,0.003929624,-0.004477539,-0.005298926,0.01665737,-0.030119634
10/27/2017,0.042599783,-0.043938451,-0.011026439,0.016437535,-0.05315583,0.093667432,-0.004363486,-0.006706353,-0.005487154,0.061512538,0.0532138,-0.013805896,-0.015500202,-0.013414898
10/20/2017,-0.004724835,-0.004373439,0.020531298,0.007111701,0.096915694,0.018976821,0.042828489,0.004321462,0.00560811,0.016890946,0.039990031,-0.045394633,0.018443993,0.034298362
